gene,gene_symbol,gene_label,mean_abs_shap
212130_x_at,EIF1,EIF1,0.0003500392714232
200913_at,PPM1G,PPM1G,0.0003449224025538
241588_at,,241588_at,0.0003444947133971
201529_s_at,RPA1,RPA1,0.0003435544480193
212532_s_at,LSM12,LSM12,0.0003424193862458
203112_s_at,MIR943|NELFA,MIR943|NELFA,0.0003411079547376
218653_at,SLC25A15,SLC25A15,0.0003407209124457
202724_s_at,FOXO1,FOXO1,0.0003400456557445
240765_at,,240765_at,0.000339910961436
218302_at,PSENEN,PSENEN,0.0003372926008527
236901_at,,236901_at,0.0003350592858492
206275_s_at,MICAL2,MICAL2,0.0003332686743088
212624_s_at,CHN1,CHN1,0.0003310074259616
205257_s_at,AMPH,AMPH,0.0003303333555231
202802_at,DHPS,DHPS,0.0003287647606063
202920_at,ANK2,ANK2,0.0003273339269423
209059_s_at,EDF1,EDF1,0.0003247601435302
218456_at,CAPRIN2,CAPRIN2,0.0003233864997708
