gene,F_score,p_value
231896_s_at,19.343965893346322,3.5040555110765504e-05
217679_x_at,19.33801395046686,3.5127642956372745e-05
1552536_at,19.332045540807684,3.521519567534008e-05
238651_at,19.329833678004302,3.524769934510362e-05
204905_s_at,19.32597478376608,3.530448042041272e-05
205550_s_at,19.3256551845735,3.530918733467169e-05
213318_s_at,19.319987576104705,3.5392764819240454e-05
231311_at,19.319393382841184,3.540153889641258e-05
217717_s_at,19.309736727201678,3.5544447211204704e-05
202670_at,19.30007500263228,3.568802542818447e-05
201554_x_at,19.29245664757297,3.580165937199954e-05
1556964_s_at,19.290960160559724,3.5824024457884144e-05
214167_s_at,19.290951193199465,3.582415851898397e-05
244007_at,19.285565120415594,3.590477320657641e-05
213423_x_at,19.279624515859307,3.59939044924907e-05
1553313_s_at,19.279127844053313,3.6001366745766314e-05
207809_s_at,19.278257224804747,3.6014451224210324e-05
200681_at,19.26910052037579,3.615236383402101e-05
201371_s_at,19.264537662244315,3.622128978241105e-05
217965_s_at,19.263863450202102,3.623148581748978e-05
214439_x_at,19.257871763666913,3.632222745017852e-05
209224_s_at,19.254798290402782,3.6368864765671345e-05
226644_at,19.24836262729543,3.6466720375641835e-05
201164_s_at,19.24783164432488,3.647480618765641e-05
200610_s_at,19.24621494360315,3.649943669237667e-05
218066_at,19.242727801911123,3.6552621805550414e-05
201580_s_at,19.240877139739137,3.658088012076568e-05
223082_at,19.23609297104334,3.665403537350327e-05
AFFX-HUMGAPDH/M33197_5_at,19.234895548048126,3.667236887384486e-05
233243_at,19.23339529319529,3.6695352305966633e-05
220419_s_at,19.22764860864126,3.678352709035429e-05
210448_s_at,19.22669753781632,3.6798140972898356e-05
218220_at,19.216804910623775,3.695050343696891e-05
